Designator,Mid X,Mid Y,Rotation,Layer
_8,242.206532,-50.275321,0.0,top
_7,242.206532,-48.370321,0.0,top
_6,242.206532,-46.465321,0.0,top
_5,234.586532,-55.990321,0.0,top
_4,234.586532,-54.085321,0.0,top
_3,237.126532,-55.990321,0.0,top
_2,237.126532,-54.085321,0.0,top
,193.946532,-44.560321,0.0,top
J1_2,224.324932,-73.587522,0.0,top
J1,-8.608469,-84.195772,0.0,top
J12_2,184.105192,-51.212633,45.0,top
J12,32.666531,-82.519372,0.0,top
J13_2,212.532907,-51.21291,45.0,top
J13,-49.883469,-82.417772,0.0,top
J14,173.564192,-51.227518,135.0,top
J15,230.344732,-51.21012,90.0,top
J16,196.849627,-51.208677,45.0,top
J17,204.106532,-66.145321,0.0,top
J18,204.106532,-36.93532,0.0,top
J2,225.848932,-73.587522,0.0,top
J3,183.938932,-73.587522,0.0,top
J4,182.414932,-73.587522,0.0,top
J5,204.131932,-73.587522,0.0,top
J6,26.824531,-140.202772,0.0,top
U1,229.531932,-80.826522,0.0,top
U3,234.586532,-30.614121,0.0,top
