J1:2
J12:1
J13:1
J2:1
J3:1
J4:1
J5:1
J6:1
JP10:1
JP11:1
JP12:1
JP5:1
JP6:1
JP7:1
JP8:1
JP9:1
REF**:2
TP10:1
TP2:1
TP3:1
TP4:1
TP6:1
TP7:1
TP8:1
TP9:1
U3:1
U4:1
U5:1
U9:1
