Designator,Mid X,Mid Y,Rotation,Layer
J1,101.981,-57.241201,0.0,top
J11,102.0572,-20.9296,180.0,bottom
J12,101.981,-96.012,0.0,top
J2,101.981,-77.561201,0.0,top
TP24,100.711,-31.8262,0.0,top
TP26,100.711,-34.3662,0.0,top
TP28,100.711,-82.6262,0.0,top
TP30,100.711,-85.1662,0.0,top
